province,city,office_name,address,phone_numbers,source_url,retrieved_at_utc
آذربایجان شرقی,آذرشهر,آذرشهر,آذرشهر-خ امام-بلوار بسیج-خیام2-دبیرستان فدک نور,04124235161-04124235160-04124236273-04124236272,https://www.kanoon.ir/City/Agencies?state=8,2026-09-18T12:23:00+00:00
آذربایجان شرقی,اهر,اهر پسران,خیابان حزب اله جنب پارک کانون فرهنگی آموزش واحد پسران,04144224894-04144229996-04244220189,https://www.kanoon.ir/City/Agencies?state=8,2026-09-18T12:23:00+00:00
آذربایجان شرقی,اهر,اهر دختران,خیابان جمهوری اسلامی جنب هلال احمر سابق کوچه کربلایی پاشا پلاک5 غیرانتفاعی کوثران,04144235385-04144223155-04144220001-04144238191,https://www.kanoon.ir/City/Agencies?state=8,2026-09-18T12:23:00+00:00
آذربایجان شرقی,بناب,بناب پسران,بناب-خ باهنر بازار حلاجان پشت دادگاه قدیم آموزشگاه معین,09143205003-04127224565-04127234541-04127234547,https://www.kanoon.ir/City/Agencies?state=8,2026-09-18T12:23:00+00:00
آذربایجان شرقی,بناب,بناب دختران,آذربایجانشرقی شهرستان بناب خیابان امام خمینی طقه دوم سینماایثار,04127237543-09143206099-09144208909-04127232816,https://www.kanoon.ir/City/Agencies?state=8,2026-09-18T12:23:00+00:00
آذربایجان شرقی,تبريز,تبريز,"آدرس شعبه های ثبت نام آزمون نمایندگی تبریز 
شعبه شماره 1 دختران + طرح حکمت و بورسیه دخترو پسر : 
کوی ولیعصر ، فلکه بازار ، اول سنگ فرش ، دفتر کانون قلم چی 04133334338  - 04133312924 - 04133316151 - 04133316353 
ثبت نام عادی : از ساعت 9 الی 13 و 15 الی 19 
ثبت نام حکمت و بورسیه : از ساعت 15 الی 19 
شعبه شماره 2 دختران : انتهای خیابان باغشمال ، آموزشگاه دخترانه صدرا 04133379436 
شعبه شماره 1 پسران : میدان ساعت ، رو به روی موزه آذربایجان ، اول کوچه دل حامد جنب بانک دی ، مدرسه مشکات  04135564642
شعبه شماره 2 پسران : کوی ولیعصر ، خیابان تختی، روبروی خوابگاه دانشجویان دانشگاه تبریز - مدرسه قلم خلاق   04133313421  از ساعت 15 الی 19",04133312924-04133379436-0413334339-04135564642,https://www.kanoon.ir/City/Agencies?state=8,2026-09-18T12:23:00+00:00
آذربایجان شرقی,جلفا,جلفا,اذربایجان شرقی شهرستان هادیشهر میدان نبوت خ گلزار شهدا طبقه دوم پاساژ مروارید کانون فرهنگی قلمچی,04142041617-09144179708-04142025918-04142051592,https://www.kanoon.ir/City/Agencies?state=8,2026-09-18T12:23:00+00:00
آذربایجان شرقی,خدا آفرين,خدا آفرين,کلیبر خداآفرین بخش گرمادوز روستای حسرتان,04275263549-09144267207-09144267178-04275373501,https://www.kanoon.ir/City/Agencies?state=8,2026-09-18T12:23:00+00:00
آذربایجان شرقی,سراب,سراب پسران,خیابان امام روبروی مسجد حاج سلطان _جنب پست بانک _طبقه فوقانی فرش جلالی,۰۹۱۲۷۰۰۳۵۱۹-۰۹۱۰۲۷۹۳۵۵-۰۴۱۴۳۲۳۶۵۸۶,https://www.kanoon.ir/City/Agencies?state=8,2026-09-18T12:23:00+00:00
آذربایجان شرقی,سراب2,سراب2,سراب خ شهید مطهری شمالی طبقه بالای غذاخوری مهر,09141302701-04143237130-04143226670-09149321223,https://www.kanoon.ir/City/Agencies?state=8,2026-09-18T12:23:00+00:00
آذربایجان شرقی,شبستر,شبستر,شبستر-  بالاتر از بانک ملی مرکزی ساختمان عبدالهی طبقه 2,09144712257-04142421400,https://www.kanoon.ir/City/Agencies?state=8,2026-09-18T12:23:00+00:00
آذربایجان شرقی,عجب شير,عجب شير,عجب شیر  خیابان کبودان ابتدای کوی دیزج آموزشگاه فرهنگ,04137629980-04137622911-09143212195,https://www.kanoon.ir/City/Agencies?state=8,2026-09-18T12:23:00+00:00
آذربایجان شرقی,ليلان,ليلان,خیابان امام خیابان معلم کوچه ایمانلو پلاک 5,04137872092,https://www.kanoon.ir/City/Agencies?state=8,2026-09-18T12:23:00+00:00
آذربایجان شرقی,مراغه,مراغه,آذربایجانشرقی مراغه خ خواجه نصیر جنوبی جنب داروخانه دکتر دمقانی طبقه دوم آموزشگاه علمی آزاد کوثر,04137249409-04137235086-04137241322,https://www.kanoon.ir/City/Agencies?state=8,2026-09-18T12:23:00+00:00
آذربایجان شرقی,مرند,مرند پسران,خیابان جلفا نرسیده به اداره پست جنب باشگاه سوینج آموزشگاه مکتب قلم,04142258083-04142270616,https://www.kanoon.ir/City/Agencies?state=8,2026-09-18T12:23:00+00:00
آذربایجان شرقی,مرند,مرند دختران,خیابان جلفا - پایین تر از اداره پست - کوچه شهید یوسفی - اموزشگاه مکتب قلم,04142234488-04142234487-09389523610-09144911248,https://www.kanoon.ir/City/Agencies?state=8,2026-09-18T12:23:00+00:00
آذربایجان شرقی,ملكان,ملكان,آذربایجان شرقی ملکان -خیابان 17شهریور -چای کنار جنوبی-جنب اداره تعاون,04137828252-04137828251-04137820700,https://www.kanoon.ir/City/Agencies?state=8,2026-09-18T12:23:00+00:00
آذربایجان شرقی,ميانه,ميانه,میانه - خیابان بانک ملی کوچه شهید ساقی دبیرستان غیر انتفاعی سروش,04152223064-04152226100-04152243779-04152235101,https://www.kanoon.ir/City/Agencies?state=8,2026-09-18T12:23:00+00:00
آذربایجان شرقی,هشترود,هشترود,هشترود - خیابان دانشسرا-روبروی مدرسه درخت دانش,04152625565-04152622076-09141242017,https://www.kanoon.ir/City/Agencies?state=8,2026-09-18T12:23:00+00:00
آذربایجان غربی,آموزشگاه حسامی ارومیه,آموزشگاه حسامی ارومیه,چهارراه مخابرات،جنب برج جوتهر آموزشگاه حسامی ارومیه واحد دختران,۰۴۴۳۳۴۵۹۲۷۰,https://www.kanoon.ir/City/Agencies?state=7,2026-09-18T12:23:00+00:00
آذربایجان غربی,آموزشگاه عصر دانش اروميه,آموزشگاه عصر دانش اروميه,بلوار امامت ابتدای خیابان شهید اصغری آموزشگاه عصردانش ارومیه واحد پسران,۰۴۴۳۳۳۸۳۳۷۵,https://www.kanoon.ir/City/Agencies?state=7,2026-09-18T12:23:00+00:00
آذربایجان غربی,اشنويه,اشنويه,آذربایجان غربی- اشنویه  - بلوار انقلاب جنب بانک ملی رو به روی دبیرستان فرزانگان,04444631530-04444624664,https://www.kanoon.ir/City/Agencies?state=7,2026-09-18T12:23:00+00:00
آذربایجان غربی,بوكان,بوكان,بوکان - بلوار کردستان- بالاتر از بانک صادرات- روبروی آزمایشگاه شفا,04446224246-04446245881-04446245882,https://www.kanoon.ir/City/Agencies?state=7,2026-09-18T12:23:00+00:00
